epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.112,2.32405,1.35579,2.09023,0.95719,0.96952,0.96861,0.70565,0.98029,28.8847,1.19682,0.000554645,0.000554645,0.000554645
2,289.999,1.07385,0.65061,1.1089,0.96194,0.97141,0.98419,0.76772,0.84301,51.5881,1.01223,0.00105535,0.00105535,0.00105535
3,425.339,0.87365,0.55205,0.98741,0.92772,0.94421,0.98583,0.8368,0.61629,57.1068,0.91033,0.00150105,0.00150105,0.00150105
4,558.757,0.76681,0.49247,0.93982,0.96276,0.96,0.99189,0.86418,0.55076,9.06866,0.88236,0.00141945,0.00141945,0.00141945
5,691.89,0.69405,0.45462,0.90932,0.97058,0.96199,0.99313,0.89182,0.48311,4.25137,0.84977,0.00133693,0.00133693,0.00133693
6,825.475,0.63907,0.41384,0.89204,0.98328,0.98445,0.99412,0.89323,0.47022,3.42536,0.83634,0.00125442,0.00125442,0.00125442
7,958.911,0.60313,0.38403,0.87848,0.99533,0.99525,0.99433,0.91799,0.39516,0.30596,0.81517,0.0011719,0.0011719,0.0011719
8,1091.64,0.56154,0.35624,0.86666,0.99622,0.99628,0.99444,0.93131,0.36242,1.27576,0.80421,0.00108938,0.00108938,0.00108938
9,1224.8,0.53627,0.33898,0.85926,0.99809,0.99809,0.99455,0.93079,0.36228,0.25172,0.80452,0.00100687,0.00100687,0.00100687
10,1357.86,0.52087,0.32652,0.85322,0.99726,0.99724,0.99444,0.93182,0.35391,0.24567,0.80092,0.000924352,0.000924352,0.000924352
11,1489.25,0.46194,0.29929,0.84737,0.9969,0.99746,0.99434,0.93351,0.36027,0.25549,0.79945,0.000841835,0.000841835,0.000841835
12,1619.22,0.4256,0.27864,0.83538,0.99681,0.99676,0.99443,0.95382,0.30896,0.22643,0.78646,0.000759318,0.000759318,0.000759318
13,1749.35,0.40276,0.26401,0.82778,0.99849,0.99833,0.99457,0.96091,0.28221,0.20964,0.7783,0.000676802,0.000676802,0.000676802
14,1879.03,0.37133,0.25016,0.82023,0.99861,0.99834,0.99459,0.96801,0.27472,0.21286,0.7775,0.000594286,0.000594286,0.000594286
15,2009.01,0.36063,0.24135,0.8172,0.99871,0.99847,0.99458,0.96651,0.26849,0.20228,0.77512,0.000511769,0.000511769,0.000511769
16,2138.95,0.33874,0.23095,0.81315,0.9986,0.99876,0.99454,0.96855,0.26801,0.19741,0.77547,0.000429253,0.000429253,0.000429253
17,2268.99,0.32516,0.22439,0.80965,0.99873,0.99854,0.99453,0.97557,0.2471,0.19351,0.77194,0.000346736,0.000346736,0.000346736
18,2399.51,0.30955,0.21914,0.80582,0.99869,0.99869,0.99456,0.98061,0.2233,0.18183,0.76556,0.00026422,0.00026422,0.00026422
19,2532.33,0.29697,0.21143,0.80416,0.99873,0.99858,0.99455,0.98119,0.22049,0.18159,0.76616,0.000181703,0.000181703,0.000181703
20,2662.61,0.28497,0.20681,0.80185,0.99874,0.99865,0.9946,0.98269,0.21415,0.176,0.76477,9.91865e-05,9.91865e-05,9.91865e-05
