epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.092,2.98389,2.8844,2.99954,0.65006,0.67866,0.69057,0.32885,1.79403,inf,1.82176,0.000554645,0.000554645,0.000554645
2,257.509,1.71833,1.30193,1.5292,0.85194,0.90811,0.91936,0.57145,1.30167,inf,1.22161,0.00105535,0.00105535,0.00105535
3,365.603,1.40606,0.97321,1.25384,0.93088,0.94476,0.95747,0.6437,1.16945,inf,1.10589,0.00150105,0.00150105,0.00150105
4,471.24,1.27766,0.84653,1.16125,0.9429,0.95917,0.96444,0.67981,1.03761,inf,1.02643,0.00141945,0.00141945,0.00141945
5,576.243,1.17589,0.76453,1.09871,0.9311,0.96404,0.96962,0.69295,1.0326,inf,1.01189,0.00133693,0.00133693,0.00133693
6,680.305,1.1072,0.71185,1.06182,0.94972,0.96891,0.97419,0.73843,0.89797,inf,0.95272,0.00125442,0.00125442,0.00125442
7,784.269,1.05647,0.67766,1.03582,0.95755,0.96925,0.97292,0.76071,0.8467,inf,0.92417,0.0011719,0.0011719,0.0011719
8,887.843,1.01108,0.64432,1.01523,0.9571,0.97216,0.97707,0.77865,0.78199,inf,0.90632,0.00108938,0.00108938,0.00108938
9,991.192,0.97671,0.62603,0.99946,0.95892,0.97234,0.97782,0.78545,0.75632,inf,0.89017,0.00100687,0.00100687,0.00100687
10,1095.07,0.94912,0.60282,0.98764,0.95979,0.97242,0.9782,0.79674,0.72674,inf,0.87867,0.000924352,0.000924352,0.000924352
11,1188.59,0.83303,0.53137,0.9432,0.96135,0.97336,0.98117,0.81692,0.68804,inf,0.86722,0.000841835,0.000841835,0.000841835
12,1279.86,0.7854,0.50539,0.92719,0.96217,0.97369,0.98534,0.83612,0.6381,63.4368,0.85088,0.000759318,0.000759318,0.000759318
13,1371.18,0.7436,0.48801,0.91127,0.96242,0.97469,0.98538,0.84972,0.60883,67.7357,0.84273,0.000676802,0.000676802,0.000676802
14,1463.04,0.71065,0.47362,0.89941,0.96243,0.97418,0.9885,0.84817,0.60171,inf,0.83873,0.000594286,0.000594286,0.000594286
15,1554.88,0.6899,0.46373,0.89297,0.96179,0.97501,0.98917,0.86702,0.55786,70.5885,0.82781,0.000511769,0.000511769,0.000511769
16,1646.25,0.66948,0.45662,0.8865,0.96214,0.97568,0.99034,0.87243,0.54444,61.6528,0.82309,0.000429253,0.000429253,0.000429253
17,1738.02,0.64832,0.44331,0.88017,0.96045,0.97806,0.99043,0.88345,0.52198,69.8018,0.81855,0.000346736,0.000346736,0.000346736
18,1829.16,0.63138,0.43568,0.8748,0.96335,0.97829,0.99139,0.8847,0.51308,63.2784,0.81536,0.00026422,0.00026422,0.00026422
19,1920.88,0.61158,0.42246,0.86847,0.96769,0.97285,0.9911,0.88589,0.51188,69.896,0.81439,0.000181703,0.000181703,0.000181703
20,2012.44,0.60415,0.41852,0.86738,0.96797,0.98073,0.99207,0.89303,0.49301,64.755,0.8103,9.91865e-05,9.91865e-05,9.91865e-05
