epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.471,2.40588,1.44058,2.14999,0.90816,0.95277,0.92262,0.63172,1.12093,45.4135,1.2714,0.000554645,0.000554645,0.000554645
2,443.816,1.16993,0.69223,1.13388,0.95529,0.97097,0.9761,0.74911,0.86935,62.9205,1.02712,0.00105535,0.00105535,0.00105535
3,661.069,0.96641,0.57764,1.00834,0.92761,0.95367,0.98288,0.76787,0.83308,67.2753,0.98409,0.00150105,0.00150105,0.00150105
4,875.758,0.86337,0.51799,0.95986,0.96764,0.97692,0.989,0.83135,0.64863,64.0816,0.89958,0.00141945,0.00141945,0.00141945
5,1089.6,0.78045,0.47586,0.93015,0.946,0.95929,0.98667,0.84847,0.58998,73.1134,0.87396,0.00133693,0.00133693,0.00133693
6,1303.44,0.72152,0.44947,0.9087,0.97069,0.9822,0.99226,0.86844,0.53287,63.1071,0.85283,0.00125442,0.00125442,0.00125442
7,1516.79,0.66991,0.42528,0.89269,0.97568,0.98493,0.99257,0.89503,0.4643,59.1673,0.83201,0.0011719,0.0011719,0.0011719
8,1730.58,0.63553,0.39667,0.88049,0.98362,0.98898,0.99381,0.90892,0.43428,16.6818,0.82078,0.00108938,0.00108938,0.00108938
9,1944.96,0.60968,0.3811,0.87229,0.98981,0.98961,0.99426,0.89482,0.48503,5.99514,0.83662,0.00100687,0.00100687,0.00100687
10,2158.36,0.58362,0.35907,0.86549,0.99473,0.99485,0.99444,0.91525,0.40916,1.25153,0.81116,0.000924352,0.000924352,0.000924352
11,2358.46,0.50647,0.32579,0.85617,0.99641,0.99638,0.99432,0.92927,0.37625,6.15629,0.80044,0.000841835,0.000841835,0.000841835
12,2556.9,0.47312,0.2993,0.84378,0.99534,0.99536,0.99437,0.93214,0.36695,0.24853,0.79708,0.000759318,0.000759318,0.000759318
13,2754.81,0.44094,0.28265,0.83526,0.99626,0.99693,0.99439,0.93766,0.35035,7.13387,0.79023,0.000676802,0.000676802,0.000676802
14,2952.77,0.42562,0.27611,0.83008,0.99803,0.99794,0.99441,0.94748,0.3233,0.65131,0.78481,0.000594286,0.000594286,0.000594286
15,3151.76,0.40134,0.25698,0.82335,0.99746,0.99757,0.99447,0.95825,0.30061,0.24774,0.77946,0.000511769,0.000511769,0.000511769
16,3350.89,0.38151,0.24604,0.81803,0.99829,0.99819,0.99447,0.95877,0.2962,0.21119,0.77751,0.000429253,0.000429253,0.000429253
17,3549.33,0.36487,0.23869,0.81506,0.99835,0.99836,0.99446,0.96457,0.28572,0.20806,0.77623,0.000346736,0.000346736,0.000346736
18,3748.9,0.34945,0.23455,0.81101,0.99756,0.99788,0.99447,0.96621,0.27107,0.19809,0.772,0.00026422,0.00026422,0.00026422
19,3947.6,0.33591,0.22677,0.80801,0.99844,0.99846,0.9945,0.97014,0.26355,0.19603,0.77201,0.000181703,0.000181703,0.000181703
20,4146.32,0.32266,0.22078,0.8063,0.99846,0.99838,0.99455,0.97269,0.25368,0.19094,0.76891,9.91865e-05,9.91865e-05,9.91865e-05
