epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.309,1.43809,1.22574,1.08509,0.95112,0.95524,0.97145,0.69453,1.01793,inf,0.93103,0.000554645,0.000554645,0.000554645
2,143.272,0.98535,0.61603,0.91767,0.94767,0.96624,0.97703,0.76832,0.8109,inf,0.87459,0.00105535,0.00105535,0.00105535
3,209.137,0.85957,0.53442,0.88714,0.9137,0.95222,0.98812,0.81283,0.67276,57.4576,0.83752,0.00150105,0.00150105,0.00150105
4,274.382,0.7851,0.48983,0.87018,0.97413,0.97995,0.99154,0.84878,0.58897,15.9314,0.81846,0.00141945,0.00141945,0.00141945
5,339.85,0.72984,0.45709,0.85728,0.97729,0.97275,0.99069,0.85623,0.56412,12.4995,0.81277,0.00133693,0.00133693,0.00133693
6,404.676,0.6826,0.42871,0.84797,0.97662,0.98234,0.99181,0.86786,0.53733,38.2853,0.8048,0.00125442,0.00125442,0.00125442
7,469.163,0.65457,0.41052,0.84247,0.98525,0.98377,0.99208,0.89519,0.47066,1.26322,0.79365,0.0011719,0.0011719,0.0011719
8,533.643,0.62144,0.38914,0.83615,0.98855,0.98876,0.9942,0.90027,0.45733,1.41438,0.79057,0.00108938,0.00108938,0.00108938
9,598.494,0.60059,0.37846,0.83227,0.98874,0.98878,0.99391,0.9109,0.41646,3.44419,0.78313,0.00100687,0.00100687,0.00100687
10,662.765,0.58278,0.36379,0.82838,0.99644,0.9963,0.99445,0.91216,0.42389,1.07887,0.78324,0.000924352,0.000924352,0.000924352
11,725.893,0.52001,0.32856,0.8172,0.99338,0.9935,0.99435,0.91813,0.40359,4.19231,0.78056,0.000841835,0.000841835,0.000841835
12,787.112,0.49391,0.3117,0.81205,0.99686,0.99715,0.99439,0.92855,0.38192,0.31488,0.77569,0.000759318,0.000759318,0.000759318
13,847.963,0.464,0.29036,0.80554,0.9979,0.99759,0.99443,0.94032,0.35324,0.93551,0.77126,0.000676802,0.000676802,0.000676802
14,908.769,0.44554,0.28048,0.80273,0.99761,0.99764,0.9944,0.93908,0.35688,0.75999,0.77221,0.000594286,0.000594286,0.000594286
15,969.775,0.42759,0.26824,0.79904,0.99738,0.99798,0.99435,0.94732,0.33069,0.32745,0.76817,0.000511769,0.000511769,0.000511769
16,1030.43,0.41127,0.25951,0.79684,0.99479,0.99479,0.9943,0.94585,0.33878,0.33986,0.76885,0.000429253,0.000429253,0.000429253
17,1091.36,0.39548,0.25316,0.79468,0.998,0.99813,0.99445,0.95179,0.32185,0.72047,0.7661,0.000346736,0.000346736,0.000346736
18,1152.41,0.37794,0.24539,0.79122,0.99795,0.99839,0.99445,0.96209,0.29035,0.20674,0.76096,0.00026422,0.00026422,0.00026422
19,1212.91,0.36172,0.23616,0.78905,0.99622,0.99637,0.99446,0.96116,0.30311,0.21032,0.76427,0.000181703,0.000181703,0.000181703
20,1273.74,0.35016,0.23057,0.7877,0.99773,0.99797,0.99448,0.96595,0.27795,0.19887,0.75945,9.91865e-05,9.91865e-05,9.91865e-05
